address,name,online_order,book_table,rate,votes,location,rest_type,cuisines,listed_in(type),listed_in(city),approx_cost
"39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore",Chaatimes,Yes,No,3.8,133,basavanagudi,Quick Bites,"street food, fast food",Delivery,Banashankari,200.0
"Opp Vinayaka hospital, Near Seetha Circle , 80 Feet Road, Banashankari, Bangalore",Havyaka Mess,No,No,3.9,28,banashankari,Mess,south indian,Delivery,Banashankari,300.0
"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",McDonald's,Yes,No,3.9,286,banashankari,Quick Bites,"burger, fast food",Delivery,Banashankari,500.0
"645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, Bangalore",Domino's Pizza,Yes,No,3.9,540,banashankari,Quick Bites,"pizza, fast food",Delivery,Banashankari,800.0
"2nd Stage, Banashankari, Bangalore",Hotboxit,No,No,3.8,36,banashankari,Delivery,"north indian, continental, italian",Delivery,Banashankari,400.0
"1750, 14th Main, Police Station Road, Kumaraswamy Layout, Bangalore",Kitchen Garden,Yes,No,3.6,244,kumaraswamy layout,Quick Bites,"north indian, chinese",Delivery,Banashankari,300.0
"1621, 1st Floor, 50 Feet Main Road, Kumaraswamy Layout, Bangalore",Recipe,Yes,No,4.0,804,kumaraswamy layout,Casual Dining,"north indian, chinese, biryani, rolls",Delivery,Banashankari,450.0
"179, 1st Floor, Jawarlalnehru Road, BEML Layout, Rajarajeshwari Nagar, Bangalore",Beijing Bites,Yes,No,3.7,679,rajarajeshwari nagar,Casual Dining,"chinese, thai",Delivery,Banashankari,850.0
"1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore",Tasty Bytes,Yes,No,3.1,245,kumaraswamy layout,Quick Bites,"north indian, chinese, momos, rolls",Delivery,Banashankari,300.0
"276, Ground Floor, 100 Feet Outer Ring Road, Banashankari 3rd Stage, Banashankari, Bangalore",Petoo,No,No,3.7,21,banashankari,Quick Bites,north indian,Delivery,Banashankari,450.0
"1514, 4th Cross, 7th Main, RPC layout, 2nd Stage, Vijay Nagar, Bangalore",Shree Cool Point,Yes,No,4.1,28,vijay nagar,Quick Bites,"fast food, street food, beverages",Delivery,Banashankari,150.0
"808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore",Corner House Ice Cream,No,No,4.3,345,banashankari,Dessert Parlor,"ice cream, desserts",Delivery,Banashankari,400.0
"178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, Bangalore",Biryanis And More,Yes,No,4.0,618,jayanagar,Casual Dining,"biryani, north indian, chinese, andhra, south indian",Delivery,Banashankari,750.0
"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Roving Feast,No,No,4.0,1047,banashankari,Quick Bites,"italian, continental, fast food, chinese, momos",Delivery,Banashankari,450.0
"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",FreshMenu,Yes,No,3.9,627,banashankari,Delivery,"healthy food, chinese, biryani, north indian, continental, salad, american, burger",Delivery,Banashankari,450.0
"218/1,11th Main, 50 Feet Road, Hanumanthnagar, Banashankari, Bangalore",Banashankari Donne Biriyani,Yes,No,3.8,104,banashankari,Quick Bites,"biryani, fast food",Delivery,Banashankari,300.0
"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",Wamama,Yes,Yes,4.2,354,banashankari,Casual Dining,"asian, korean, indonesian, japanese, chinese, thai, momos",Delivery,Banashankari,800.0
"484/A, 1st Stage, 2nd Block, 4th Main Rd, SBM Colony, Seetha Circle, Banashankari, Bangalore",Five Star Chicken,No,No,3.6,55,banashankari,Quick Bites,"fast food, burger",Delivery,Banashankari,200.0
"18, B K Complex, Opposite To BDA Complex, 21st, Main Road, 2nd Stage, Banashankari, Bangalore",XO Belgian Waffle,Yes,No,3.7,17,banashankari,Dessert Parlor,"desserts, beverages",Delivery,Banashankari,400.0
"942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Peppy Peppers,No,No,4.2,244,banashankari,Casual Dining,"italian, north indian, mexican",Delivery,Banashankari,800.0
"1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, Bangalore",Goa 0 Km,Yes,Yes,3.6,163,kumaraswamy layout,Casual Dining,"goan, seafood, north indian, chinese, biryani",Delivery,Banashankari,800.0
"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore",Chinese Kitchen,Yes,No,3.8,58,basavanagudi,Quick Bites,chinese,Delivery,Banashankari,150.0
"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",1947,No,Yes,4.0,808,banashankari,Casual Dining,"north indian, chinese",Delivery,Banashankari,850.0
"295/B, 7th Main Road, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, Bangalore",Cake of the Day,No,No,3.7,78,banashankari,"Bakery, Dessert Parlor",bakery,Delivery,Banashankari,150.0
"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",Kabab Magic,Yes,No,4.1,1720,basavanagudi,Quick Bites,"north indian, kebab, chinese, fast food",Delivery,Banashankari,400.0
"30th Cross, 8th Main, Near Jain Temple, 4th Block, Jayanagar, Bangalore",Namma Brahmin's Idli,Yes,No,3.6,34,jayanagar,Quick Bites,south indian,Delivery,Banashankari,100.0
"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",Gustoes Beer House,No,No,4.1,868,banashankari,Pub,"continental, italian, mexican, north indian, chinese, steak",Delivery,Banashankari,1200.0
"186, 11th Main, 4th Cross, Hanumanthnagar, Banashankari, Bangalore",Sugar Rush,No,No,3.8,39,banashankari,Bakery,"bakery, desserts",Delivery,Banashankari,300.0
"59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, Bangalore",Burger King,Yes,No,3.2,71,basavanagudi,Quick Bites,"burger, fast food, beverages",Delivery,Banashankari,600.0
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",The Good Bowl,Yes,No,3.6,6,banashankari,"Takeaway, Delivery","italian, north indian, biryani",Delivery,Banashankari,500.0
"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",The Biryani Cafe,No,No,4.1,520,banashankari,Quick Bites,"biryani, chinese, kebab",Delivery,Banashankari,300.0
"Opposite ICICi Bank, Hanuman Nagar, Banashankari, Bangalore",Spicy Tandoor,No,No,,0,banashankari,Quick Bites,north indian,Delivery,Banashankari,150.0
"100 Feet Road, 3rd Stage, Banashankari, Bangalore",LSD Cafe,No,No,2.9,84,banashankari,Delivery,"chinese, continental, italian, north indian",Delivery,Banashankari,700.0
"Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Rolls On Wheels,No,No,3.6,299,banashankari,Quick Bites,"fast food, rolls, momos",Delivery,Banashankari,300.0
"39, S B M Colony, Near-Sita Circle, 1st Stage, Banashankari, Bengaluru",Om Sri Vinayaka Chats,No,No,,0,banashankari,"Takeaway, Delivery","street food, fast food",Delivery,Banashankari,500.0
"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore",Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,basavanagudi,Quick Bites,south indian,Delivery,Banashankari,150.0
"16th Main Road, Near PESIT College, Banashankari, Bangalore",Devanna Dum Biriyani Centre,Yes,No,3.6,28,banashankari,Quick Bites,"biryani, south indian",Delivery,Banashankari,300.0
"1430, 22nd Cross, Next To Coffee Day, Near BDA Complex, Banashankari, Bangalore",Kolbeh,No,No,3.7,22,banashankari,Quick Bites,fast food,Delivery,Banashankari,500.0
"727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",Upahar Sagar,No,No,3.8,39,banashankari,Quick Bites,"south indian, chinese, north indian",Delivery,Banashankari,350.0
"36, 2nd Main, RPC Layout, Vijay Nagar, Bangalore",Kadalu Sea Food Restaurant,Yes,No,3.8,153,vijay nagar,Fine Dining,"seafood, north indian, chinese, andhra, biryani, kebab",Delivery,Banashankari,500.0
"2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",Frozen Bottle,Yes,No,4.2,146,banashankari,Beverage Shop,"beverages, desserts, ice cream",Delivery,Banashankari,400.0
"1142, 22nd Cross, 30th Main, Banashankari, Bangalore",Parimala Sweets,No,No,3.5,14,banashankari,Sweet Shop,"mithai, street food",Delivery,Banashankari,200.0
"512, 2nd Cross, 3rd Stage, Banashankari, Bangalore",Vaishali Deluxe,No,No,3.8,42,banashankari,Casual Dining,"north indian, chinese",Delivery,Banashankari,700.0
"161/C, 6th Main, 80 Feet Road, Bhuvaneshwari Nagercoil, Banashankari, Bangalore",Chill Out,No,No,,0,banashankari,Quick Bites,"south indian, chinese",Delivery,Banashankari,100.0
"45/12, 4th Cross, 10th Main, Gururaja Layout, Banashankari, Bangalore",The Big O Bakes,No,No,4.0,66,banashankari,Bakery,"bakery, desserts",Delivery,Banashankari,300.0
"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore",Meghana Foods,Yes,No,4.4,4401,jayanagar,Casual Dining,"biryani, north indian, chinese",Delivery,Banashankari,600.0
"38, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",Krishna Sagar,No,No,3.5,31,banashankari,Quick Bites,north indian,Delivery,Banashankari,200.0
"1/34, 3rd Cross Road, Kathriguppe IV Phase, Banashankari 3rd Stage, Banashankari, Bangalore",Dessert Rose,No,No,3.5,7,banashankari,Dessert Parlor,desserts,Delivery,Banashankari,500.0
"480/A, 50 feet road, Nagendra block, Near PES College, Nagendra block, Banashankari, Bangalore",Chickpet Donne Biryani House,No,No,3.7,21,banashankari,Quick Bites,biryani,Delivery,Banashankari,250.0
"BDA Shopping Complex, 24th Cross Road, Siddanna Layout, 2nd Stage, Banashankari, Bangalore",Me And My Cake,No,No,,0,banashankari,Delivery,"bakery, desserts",Delivery,Banashankari,500.0
"Shop 18 , 3rd cross road,Markandeya Layout, Banashankari, Bangalore",Sunsadm,No,No,,0,banashankari,"Takeaway, Delivery",south indian,Delivery,Banashankari,400.0
"625, 5th Cross Road, Hanumanthnagar, Banashankari, Bangalore",Annapooraneshwari Mess,No,No,,0,banashankari,Mess,south indian,Delivery,Banashankari,200.0
"941, 21st Main Road, BSK 2nd Stage , Near BDA Complex, Banashankari, Bangalore",Thanco's Natural Ice Creams,No,No,3.2,9,banashankari,Dessert Parlor,ice cream,Delivery,Banashankari,300.0
"304, Opposite Apollo Public School, 100 Feet Ring Road, 4th Phase, 7th Block, Banashankari 3rd Stage, Bangalore,",Nandhini Deluxe,No,No,2.6,283,banashankari,Casual Dining,north indian,Delivery,Banashankari,600.0
"3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore",Vi Ra's Bar and Restaurant,No,No,3.3,62,banashankari,Bar,"south indian, north indian, chinese",Delivery,Banashankari,800.0
"50 Feet Road, Hanumanthanagar, Banashankari, Bangalore",Kaggis,No,No,3.8,64,banashankari,Quick Bites,"fast food, bakery",Delivery,Banashankari,250.0
"34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",Ayda Persian Kitchen,No,No,3.7,39,banashankari,Casual Dining,"north indian, iranian",Delivery,Banashankari,950.0
"24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, Bangalore",Chatar Patar,No,No,3.7,65,banashankari,Quick Bites,"fast food, street food",Delivery,Banashankari,300.0
"96, Opposite Jain Collage, Basavanagudi, Bangalore",Polar Bear,Yes,No,3.8,71,basavanagudi,Dessert Parlor,"ice cream, desserts, beverages, sandwich",Delivery,Banashankari,400.0
"2465, 3rd Floor, Opposite BDA Complex, 24th Cross, Banashankari, Bangalore",Kidambi's Kitchen,No,No,3.5,52,banashankari,Quick Bites,south indian,Delivery,Banashankari,300.0
"295/A, 7th Main road, 7th Block, 3rd Stage, Banashankari, Bangalore",Mane Thindi,No,No,3.7,130,banashankari,Quick Bites,south indian,Delivery,Banashankari,200.0
"1189, 10th Cross, Shankarnag Circle, 1st Stage, 2nd Block, Banashankari, Bangalore",Kotian Karavali Restaurant,No,No,3.5,10,banashankari,Quick Bites,"south indian, biryani",Delivery,Banashankari,300.0
"415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, Bangalore",Floured-Baked With Love,No,No,3.8,45,banashankari,"Takeaway, Delivery",bakery,Delivery,Banashankari,400.0
"27, 80 Feet Road, Srinivasnagar, Banashankari, Bangalore",Cakes & Slices,No,No,3.5,13,banashankari,Bakery,"bakery, desserts",Delivery,Banashankari,300.0
"Number 42, 4th Block, 6th Stage Banashankari, Vrishabhvachi Nagar, Opposite RV College of Architecture, Bangalore",Spice 9,No,No,3.4,8,banashankari,Quick Bites,"biryani, north indian, chinese, fast food",Delivery,Banashankari,300.0
"1722, 13th Main Road 31st Cross BSK, 2nd Stage, Banashankari, Bangalore",Coffee Shopee,No,No,,0,banashankari,"Takeaway, Delivery",beverages,Delivery,Banashankari,250.0
"2, 3rd Cross, Near Pesit College, Banashankari, Bangalore",Naveen Kabab & Biriyani Mane,No,No,3.2,9,banashankari,Quick Bites,biryani,Delivery,Banashankari,300.0
"8, Katriguppe Main Road, Vivekananda Nagar, 3rd Stage, Banashankari, Bangalore",Katriguppe Donne Biryani,No,No,3.2,4,banashankari,Quick Bites,north indian,Delivery,Banashankari,300.0
"594, 24 The Cross BSK, Opposte Oriental Bank, Banashankari, Bangalore",Hari Super Sandwich,No,No,,0,banashankari,"Takeaway, Delivery","sandwich, pizza, beverages",Delivery,Banashankari,200.0
"7/1, Behind BMS College Hostel, 80 Feet Road, 1st Stage, Srinivas Nagar Bank Colony, Banashankari, Bangalore",Atithi Point Ande Ka Funda,No,No,3.1,29,banashankari,Quick Bites,north indian,Delivery,Banashankari,150.0
"3967, VHBC Society, Girinagar Phase 4, Hosekerehalli Mani Road, Banashankari 3rd Stage, Banashankari, Bangalore",Just Bake,No,No,3.4,8,banashankari,Bakery,"bakery, desserts",Delivery,Banashankari,400.0
"Shop 25, 1st Cross, 50 Feet Main Road, Near BDA Park, Girinagar, Banashankari, Bangalore",Dharwad Line Bazaar Mishra Pedha,No,No,,0,banashankari,Dessert Parlor,mithai,Delivery,Banashankari,150.0
"Near Seetha Circle, Vivekananda Park Road, Girinagar, Banashankari, Bangalore",Cake Bite,No,No,,0,banashankari,Bakery,bakery,Delivery,Banashankari,300.0
"41/10, Near PESIT Collage, 8th Main Road, 1st Cross, Dwarakanagar, Banashankari, Bangalore",Aarush's Food Plaza,No,No,,0,banashankari,Quick Bites,"north indian, street food",Delivery,Banashankari,200.0
"3148, 2nd Cross, 4th Phase Girinagar, Near Hosagarnahalli Cross, Banashankari, Bangalore",Wood Stove,No,No,,0,banashankari,"Takeaway, Delivery",south indian,Delivery,Banashankari,150.0
"662, 19th Main, Kidney Foundation, Padmanabhan Nagar, Banashankari, Bangalore",Kulfi & More,No,No,,0,banashankari,Dessert Parlor,"ice cream, desserts, juices",Delivery,Banashankari,150.0
"1189, 9th Main, Ashok Nagar, Bank 1st Stage, Banashankari, Bangalore",Kannadigas Karavali,No,No,,0,banashankari,Quick Bites,"mangalorean, south indian, north indian",Delivery,Banashankari,250.0
"27, 27th Cross, 2nd Stage, Banashankari, Bangalore",K27 - The Pub,No,No,3.1,30,banashankari,Bar,"chinese, north indian",Delivery,Banashankari,1000.0
"4001/4002, Annapoorneshwari Plaza, Near Seetha Circle, Hosakerehalli Cross, Banashankari, Bangalore",Bengaluru Coffee House,Yes,No,4.1,201,banashankari,Quick Bites,"south indian, north indian, chinese, street food",Delivery,Banashankari,300.0
"89, Near PES College, 22nd Main Road, Girinagar, 1st Stage, Banashankari, Bangalore",New Mangalore Lunch Home,No,No,3.3,7,banashankari,Quick Bites,"mangalorean, south indian, north indian",Delivery,Banashankari,200.0
"10th Main, Hanumanthanagar, 50 Feet Road, Phase 1, Banashankari, Bangalore",Coffee Bytes,No,No,3.1,6,banashankari,Quick Bites,"fast food, south indian",Delivery,Banashankari,100.0
"68, Opposite ICICI Bank, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Parjanya Chat Zone,No,No,3.3,17,banashankari,Quick Bites,"street food, fast food",Delivery,Banashankari,200.0
"590, 24th Cross, 2nd Stage, Banashankari, Bangalore",Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,banashankari,Dessert Parlor,"ice cream, desserts",Delivery,Banashankari,200.0
"346, 7th Cross, 8th Main Road, Padmanabham Nagar, Banashankari, Bangalore",Soms Kitchen & Bakes,No,No,,0,banashankari,Delivery,"south indian, north indian, continental",Delivery,Banashankari,400.0
"17/1, Ramalh Garden, Kadieranahall Circle, Near Raghavendra Flour Mill, Dr Vishnuvardhan Main Road, BSK 2nd Stage, Banashankari, Bangalore",Banashankari Nati Style,No,No,,0,banashankari,Quick Bites,"biryani, chinese, south indian, north indian",Delivery,Banashankari,350.0
"Padmanabhanagar, Banashankari, Bangalore",Ruchi Maayaka,No,No,3.3,8,banashankari,Delivery,south indian,Delivery,Banashankari,100.0
"29, 5th Cross, Near PES College, 100 Feet Road, Dwaraka Nager, Banashankari, Bangalore",Mohitesh Hut Roll,No,No,,0,banashankari,Quick Bites,"rolls, north indian",Delivery,Banashankari,150.0
"692, 12th Cross, 7th Block Kankapura Main Road, Banashankari, Bangalore",Sri Basaveshwar Jolada Rotti Oota,No,No,,0,banashankari,Quick Bites,south indian,Delivery,Banashankari,150.0
"28, 4th Cross Road, Dwaraka Nagar, Banashankari, Bengaluru",Roll Magic Fast Food,No,No,,0,banashankari,"Takeaway, Delivery","biryani, rolls, chinese",Delivery,Banashankari,200.0
"3/16, 22 Main Road, Magenta Block, PES College, Road Bank Colony, Banashankari, Bangalore",Foodlieious Multi Cuisine,No,No,,0,banashankari,Quick Bites,north indian,Delivery,Banashankari,100.0
"17/1, Ramaiah Garden, Kadirenahalli Circle, Dr Vishnuvardhan Main Road, 2nd Stage, Banashankari, Bangalore",Thanishka Nati And Karavali Style,No,No,,0,banashankari,Quick Bites,"biryani, fast food",Delivery,Banashankari,400.0
"2/1, 7th Main, Dwarakangar, Banashankari, Bangalore",Swathi Cool Point,No,No,,0,banashankari,Beverage Shop,"beverages, juices",Delivery,Banashankari,200.0
"487, Cauvery Complex, S.B.M Colony, 80 Feet Road, Banashankri, Bangalore",Kaumudis Juoice,No,No,,0,banashankari,"Beverage Shop, Quick Bites","beverages, fast food, juices",Delivery,Banashankari,150.0
"10, 4th cross, Muneshwara Block, Devinagar, Banashankari, Bangalore",Amma - Manae,No,No,,0,banashankari,"Takeaway, Delivery",south indian,Delivery,Banashankari,400.0
"559/1, Opposite Canara Bank ATM, Pipelane Road, Sri Nagar, Banashankari, Bengaluru",Sri Sai Tiffannies,No,No,,0,banashankari,Quick Bites,"south indian, chinese",Delivery,Banashankari,150.0
"263, 3rd Main Road, Chikka Laksandra, Banashankari, Bangalore",Hotel Andhra Speices,No,No,,0,banashankari,Quick Bites,andhra,Delivery,Banashankari,250.0
"57, 3rd cross, 80 feet Road, Banashankari, Bangalore",Sri Murari Family Restaurant,No,No,,0,banashankari,Quick Bites,biryani,Delivery,Banashankari,250.0
"94, Katriguppe Main Road, Opposite Pai Showroom, Banashankari, Bangalore",Aramane Donne Biriyani,No,No,,0,banashankari,Quick Bites,"south indian, biryani",Delivery,Banashankari,150.0
